Role,Index,Pose Index,Structure,Protein,MW(Molecular Weight) Unit Dalton,#Atoms,SlogP,TPSA,Flexibility,#RB,LF Rank Score,LF dG,LF VSscore,LF LE,tPSA,Hacc,Hdon,logSw,Library,MW_FREE
Ligands,2,1,O[C@H]1[C@@H](OC([C@H](OC)[C@H]1OC(=O)N)(C)C)Oc2ccc3C(O)=C(NC(=O)c4ccc(O)c(CCC(C)C)c4)C(Oc3c2C)=O,6TBE_P,614.6,44,3.6,196.1,10.2,13,-10.048,-10.706,-14.474,-0.243,,,,,,
Ligands,2,1,O[C@H]1[C@@H](OC([C@H](OC)[C@H]1OC(=O)N)(C)C)Oc2ccc3C(O)=C(NC(=O)c4ccc(O)c(CCC(C)C)c4)C(Oc3c2C)=O,6TBE_P,614.6,44,3.6,196.1,10.2,13,-9.842,-10.621,-14.46,-0.241,,,,,,
Ligands,2,1,O[C@H]1[C@@H](OC([C@H](OC)[C@H]1OC(=O)N)(C)C)Oc2ccc3C(O)=C(NC(=O)c4ccc(O)c(CCC(C)C)c4)C(Oc3c2C)=O,6TBE_P,614.6,44,3.6,196.1,10.2,13,-9.833,-10.189,-12.71,-0.232,,,,,,
chembridge-fragment-library-part1-exp-2024-06,19940,1,Brc1ccc(CSC=2C(=O)NC(=O)NN2)cc1,6TBE_P,314.2,17,1.9,70.6,3,3,-8.75,-8.286,-10.681,-0.487,7.86E+01,3,2,-3.53E+00,ExpressPick,3.14E+02
chembridge-fragment-library-part1-exp-2024-06,8866,1,Oc1ccc(CN2CCc3c([nH]c4ccccc43)C2)cc1,6TBE_P,278.4,21,3.4,39.3,3,3,-8.596,-6.457,-7.222,-0.307,3.93E+01,2,2,-2.17E+00,ExpressPick,2.78E+02
chembridge-fragment-library-part1-exp-2024-06,12780,1,Brc1ccc(NC(=O)CC=2C(=O)Nc3ccccc3C2O)cc1,6TBE_P,373.2,23,3.8,78.4,2.8,4,-8.422,-7.207,-8.626,-0.313,8.22E+01,3,3,-3.93E+00,ExpressPick,3.73E+02
chembridge-fragment-library-part1-exp-2024-06,7076,1,O=C1C(SCc2ccccc2)=NNC(=O)N1,6TBE_P,235.3,16,1.1,70.6,3,3,-8.416,-7.079,-9.512,-0.442,7.86E+01,3,2,-2.01E+00,ExpressPick,2.35E+02
chembridge-fragment-library-part1-exp-2024-06,17706,1,Fc1ccc(CN2C(O)=NC([O-])=C([S+](C)C)C2=O)cc1,6TBE_P,295.3,20,1.3,72.8,3,3,-8.359,-7.017,-8.063,-0.351,7.19E+01,3,1,-2.07E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,17702,1,Fc1ccccc1N2C(O)=NC([O-])=C([S+](C)C)C2=O,6TBE_P,281.3,19,1.3,72.8,1.3,2,-8.354,-6.425,-7.329,-0.338,7.19E+01,3,1,-1.95E+00,ExpressPick,2.82E+02
chembridge-fragment-library-part1-exp-2024-06,6760,1,Brc1cccc([C@@H]2c3c(C[C@H](N2)C(O)=O)c4ccccc4[nH]3)c1,6TBE_P,371.2,23,3.7,65.1,1.9,3,-8.168,-8.39,-9.143,-0.365,6.51E+01,3,3,-5.01E+00,ExpressPick,3.71E+02
chembridge-fragment-library-part1-exp-2024-06,12578,1,O=C1C=CC=C2[C@H]3CN(C[C@H](C3)CN12)Cc4ccc(O)cc4,6TBE_P,296.4,22,1.9,43.8,3.8,3,-8.121,-6.471,-7.099,-0.294,4.55E+01,3,1,-2.14E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,28944,1,Brc1ccc2ccn(c2c1)CC(=O)Nc3nncs3,6TBE_P,337.2,19,3,59.8,2.3,3,-8.118,-7.978,-8.561,-0.42,5.98E+01,3,1,-3.84E+00,ExpressPick,3.37E+02
chembridge-fragment-library-part1-exp-2024-06,7432,1,Brc1csc([C@H]2C(=C(Oc3c2c(n[nH]3)C)N)C#N)c1,6TBE_P,337.2,19,2.8,87.7,0,1,-8.114,-7.096,-9.652,-0.373,8.77E+01,3,2,-3.23E+00,ExpressPick,3.37E+02
chembridge-fragment-library-part1-exp-2024-06,26126,1,O=C(NC1=CN=C2N(C1=O)C=CS2)c3ccccc3C,6TBE_P,285.3,20,1.8,61.8,0.5,2,-8.086,-5.828,-6.958,-0.291,6.35E+01,3,1,-2.14E+00,ExpressPick,2.85E+02
chembridge-fragment-library-part1-exp-2024-06,14404,1,Brc1ccc2c(c3CCC[C@H](NCCO)c3[nH]2)c1,6TBE_P,309.2,18,3.3,48,4.5,4,-8.082,-7.845,-8.119,-0.436,5.26E+01,1,3,-1.86E+00,ExpressPick,3.09E+02
chembridge-fragment-library-part2-cl-2024-06,4690,1,Clc1ccc(C(=O)NCc2cccnc2N)cc1O,6TBE_P,277.7,19,2,88.2,2.8,4,-8.028,-6.559,-7.226,-0.345,8.82E+01,3,3,-2.12E+00,1101,CORE
chembridge-fragment-library-part1-exp-2024-06,19966,1,Brc1cc(F)c(NC(=O)CN2C=Nc3ccccc3C2=O)cc1,6TBE_P,376.2,23,3.7,61.8,2.3,3,-8.025,-7.574,-8.592,-0.329,6.40E+01,3,1,-3.33E+00,ExpressPick,3.76E+02
chembridge-fragment-library-part1-exp-2024-06,19976,1,Fc1ccc(N2C(=O)C[C@@H](C2)C(=O)Nc3ccccn3)cc1,6TBE_P,299.3,22,2.5,62.3,1.8,3,-8.014,-7.344,-8.587,-0.334,6.23E+01,3,1,-2.30E+00,ExpressPick,2.99E+02
chembridge-fragment-library-part1-exp-2024-06,14426,1,OCCN[C@H]1CCCc2c3cc(ccc3[nH]c21)C,6TBE_P,244.3,18,2.8,48,4.5,4,-7.997,-7.525,-7.788,-0.418,5.26E+01,1,3,-1.32E+00,ExpressPick,2.44E+02
chembridge-fragment-library-part1-exp-2024-06,18228,1,Fc1ccc(NC(=O)C2=CC(=O)c3ccccc3O2)cc1,6TBE_P,283.3,21,3.1,55.4,0.5,2,-7.979,-6.114,-7.541,-0.291,5.93E+01,3,1,-3.38E+00,ExpressPick,2.83E+02
chembridge-fragment-library-part1-exp-2024-06,22972,1,O=C1C=C(Nc2nc(nn12)C)CSc3ccc(cc3)C,6TBE_P,286.4,20,2.6,59.8,3,3,-7.938,-6.976,-7.527,-0.349,6.31E+01,3,1,-1.98E+00,ExpressPick,2.86E+02
TH152,2,1,Clc1cc(Nc2nc(-c3ccc(cc3)C(O)=O)cs2)nc(S[C@@H](CCCCCC)C(O)=O)n1,6TBE_P,507,33,6.2,125.3,9.3,14,-7.886,-10.844,-11.334,-0.329,,,,,,
chembridge-fragment-library-part1-exp-2024-06,12576,1,O=C1C=CC=C2[C@H]3CN(C[C@H](C3)CN12)Cc4cccc(O)c4,6TBE_P,296.4,22,1.9,43.8,3.8,3,-7.878,-7.059,-7.414,-0.321,4.55E+01,3,1,-2.14E+00,ExpressPick,2.96E+02
chembridge-fragment-library-part1-exp-2024-06,26788,1,Brc1ccccc1NC(=O)C2=CN=C3N(C(=C(S3)C)C)C2=O,6TBE_P,378.2,22,3.5,61.8,0.5,2,-7.871,-7.619,-8.3,-0.346,6.35E+01,3,1,-3.30E+00,ExpressPick,3.78E+02
chembridge-fragment-library-part1-exp-2024-06,22388,1,Clc1cccc(F)c1CC(=O)Nc2c(ccs2)C#N,6TBE_P,294.7,19,3.9,52.9,2.3,3,-7.85,-8.963,-9.338,-0.472,5.29E+01,2,1,-3.86E+00,ExpressPick,2.95E+02
chembridge-fragment-library-part1-exp-2024-06,17978,1,O=C1C[C@H](Cc2ccccc2)C(=O)N1c3nccs3,6TBE_P,272.3,19,2.3,50.3,2.3,3,-7.84,-6.422,-7.286,-0.338,5.03E+01,3,0,-2.35E+00,ExpressPick,2.72E+02
chembridge-fragment-library-part1-exp-2024-06,19082,1,Fc1ccccc1[C@@H]2CC(=O)Nc3cc4c(OCO4)cc32,6TBE_P,285.3,21,3.3,47.6,0.5,1,-7.836,-6.941,-8.037,-0.331,4.76E+01,3,1,-3.55E+00,ExpressPick,2.85E+02
